Image;Subject;liking;Mean;Variance;Skewness;Kurtosis;Centroid.X;Centroid.Y;Body.Height;Body.Width;Area;Lid.Height;Lid.Width
Tea3;Subject 24;1;320,86;1872,37;-3,54;19,78;363,93;1129,61;683;2141;1313243;208;407
Tea4;Subject 24;4;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Tea5;Subject 24;1;319,72;1383,95;-3,47;19,85;359,53;1115,57;696;2098;1267066;239;427
Water1;Subject 24;5;290,98;1386,87;-1,79;8,37;341,89;1407,74;648;2672;1475127;276;339
FruitJuices1;Subject 25;7;272,45;2618,38;-1,30;4,85;329,50;1385,30;636;2498;1298532;213;311
FruitJuices10;Subject 25;5;239,53;1614,41;-1,77;6,49;282,69;909,71;542;1662;743233;189;278
FruitJuices3;Subject 25;4;250,74;1668,35;-1,85;6,14;301,61;954,09;571;1761;830990;211;314
FruitJuices5;Subject 25;4;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
FruitJuices6;Subject 25;4;283,96;2296,42;-2,22;7,38;332,97;1323,28;639;2422;1294794;220;306
FruitJuices8;Subject 25;3;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
Soda1;Subject 25;4;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda10;Subject 25;6;256,62;2210,76;-2,28;9,65;307,98;1216,97;591;2225;1063841;239;284
Soda12;Subject 25;5;291,88;1925,72;-2,06;7,46;347,33;1394,57;645;2577;1413260;214;275
Soda14;Subject 25;4;264,71;2164,17;-1,72;6,28;331,30;1269,07;623;2347;1189440;207;285
Soda15;Subject 25;8;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 25;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 25;5;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 25;7;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda9;Subject 25;4;240,42;1553,26;-1,56;5,16;306,19;1287,82;563;2367;1074834;256;299
SportsDrink1;Subject 25;4;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
Water3;Subject 25;4;289,78;1658,92;-3,13;14,46;337,44;1313,68;625;2419;1321444;260;298
Water5;Subject 25;5;298,84;2127,93;-2,49;9,29;359,07;1286,20;643;2345;1305425;270;305
Water6;Subject 25;4;305,06;2462,56;-2,87;11,68;356,50;1014,56;668;1858;1056114;236;341
Water7;Subject 25;5;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
Water8;Subject 25;3;299,95;1716,89;-2,97;12,09;329,74;1337,44;642;2489;1386491;211;303
Soda1;Subject 26;6;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda15;Subject 26;8;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 26;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 26;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 26;7;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda4;Subject 26;5;259,32;1195,57;-2,11;8,38;315,57;1158,30;575;2145;1046874;200;283
Soda8;Subject 26;6;254,14;1555,61;-2,04;8,31;311,46;1284,56;583;2362;1120219;290;317
SportsDrink1;Subject 26;3;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
SportsDrink2;Subject 26;4;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
Water7;Subject 26;5;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
FruitJuices1;Subject 3;4;272,45;2618,38;-1,30;4,85;329,50;1385,30;636;2498;1298532;213;311
FruitJuices2;Subject 3;3;291,10;2368,70;-1,55;5,56;329,68;1329,46;657;2449;1338166;241;340
FruitJuices4;Subject 3;6;298,96;2574,44;-2,30;7,92;359,07;1308,53;668;2396;1343547;264;296
FruitJuices5;Subject 3;7;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
MaltDrink2;Subject 3;5;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
MaltDrink3;Subject 3;6;266,02;1979,31;-2,06;8,12;312,69;1174,26;599;2178;1099503;210;294
MaltDrink4;Subject 3;5;239,24;1446,86;-1,39;4,82;291,57;979,33;544;1848;848151;220;347
Soda1;Subject 3;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda11;Subject 3;5;245,89;1589,84;-1,69;7,22;317,94;1286,77;566;2357;1080177;248;282
Soda15;Subject 3;7;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 3;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 3;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 3;5;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda7;Subject 3;6;261,42;2821,21;-1,32;3,96;339,28;1346,61;630;2419;1222204;211;294
Soda8;Subject 3;7;254,14;1555,61;-2,04;8,31;311,46;1284,56;583;2362;1120219;290;317
Soda9;Subject 3;6;240,42;1553,26;-1,56;5,16;306,19;1287,82;563;2367;1074834;256;299
SportsDrink2;Subject 3;4;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
SportsDrink3;Subject 3;5;289,75;2173,28;-2,32;9,69;343,43;1262,68;650;2394;1328227;242;349
Tea2;Subject 3;3;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea3;Subject 3;2;320,86;1872,37;-3,54;19,78;363,93;1129,61;683;2141;1313243;208;407
Tea4;Subject 3;3;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Water1;Subject 3;5;290,98;1386,87;-1,79;8,37;341,89;1407,74;648;2672;1475127;276;339
Water2;Subject 3;4;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
Water4;Subject 3;6;302,28;3056,86;-2,59;11,07;372,29;1357,26;681;2528;1457687;273;338
Water6;Subject 3;6;305,06;2462,56;-2,87;11,68;356,50;1014,56;668;1858;1056114;236;341
Water8;Subject 3;4;299,95;1716,89;-2,97;12,09;329,74;1337,44;642;2489;1386491;211;303
FruitJuices5;Subject 4;5;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
FruitJuices8;Subject 4;4;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
MaltDrink2;Subject 4;3;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
Soda10;Subject 4;5;256,62;2210,76;-2,28;9,65;307,98;1216,97;591;2225;1063841;239;284
Soda15;Subject 4;7;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 4;4;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 4;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Tea2;Subject 4;3;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea4;Subject 4;3;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Water2;Subject 4;6;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
Water7;Subject 4;5;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
FruitJuices3;Subject 5;4;250,74;1668,35;-1,85;6,14;301,61;954,09;571;1761;830990;211;314
FruitJuices8;Subject 5;4;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
MaltDrink2;Subject 5;4;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
Soda1;Subject 5;4;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda11;Subject 5;6;245,89;1589,84;-1,69;7,22;317,94;1286,77;566;2357;1080177;248;282
Soda15;Subject 5;5;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda2;Subject 5;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 5;5;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda9;Subject 5;6;240,42;1553,26;-1,56;5,16;306,19;1287,82;563;2367;1074834;256;299
SportsDrink1;Subject 5;3;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
SportsDrink2;Subject 5;4;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
Tea5;Subject 5;3;319,72;1383,95;-3,47;19,85;359,53;1115,57;696;2098;1267066;239;427
Tea7;Subject 5;3;312,52;1306,84;-3,84;24,84;355,35;1131,76;684;2134;1264023;241;423
Water2;Subject 5;5;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
FruitJuices5;Subject 6;5;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
FruitJuices7;Subject 6;6;271,49;2702,22;-1,97;5,96;326,93;1289,32;628;2372;1219022;214;290
FruitJuices8;Subject 6;3;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
MaltDrink1;Subject 6;5;272,76;2005,11;-2,79;14,10;315,93;1066,91;608;1992;1021704;221;341
MaltDrink2;Subject 6;5;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
MaltDrink3;Subject 6;6;266,02;1979,31;-2,06;8,12;312,69;1174,26;599;2178;1099503;210;294
Soda1;Subject 6;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda13;Subject 6;6;291,21;2264,48;-2,25;8,26;348,42;1343,55;658;2501;1380145;219;294
Soda14;Subject 6;6;264,71;2164,17;-1,72;6,28;331,30;1269,07;623;2347;1189440;207;285
Soda15;Subject 6;7;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda2;Subject 6;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda4;Subject 6;7;259,32;1195,57;-2,11;8,38;315,57;1158,30;575;2145;1046874;200;283
Soda6;Subject 6;6;271,11;1861,69;-2,68;12,52;325,46;1192,10;607;2218;1132965;218;317
SportsDrink1;Subject 6;3;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
SportsDrink2;Subject 6;3;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
Tea2;Subject 6;3;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea4;Subject 6;4;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Water2;Subject 6;6;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
Water8;Subject 6;5;299,95;1716,89;-2,97;12,09;329,74;1337,44;642;2489;1386491;211;303
FruitJuices10;Subject 7;5;239,53;1614,41;-1,77;6,49;282,69;909,71;542;1662;743233;189;278
FruitJuices2;Subject 7;5;291,10;2368,70;-1,55;5,56;329,68;1329,46;657;2449;1338166;241;340
FruitJuices4;Subject 7;6;298,96;2574,44;-2,30;7,92;359,07;1308,53;668;2396;1343547;264;296
FruitJuices8;Subject 7;4;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
FruitJuices9;Subject 7;5;233,97;2279,53;-1,93;5,80;272,71;961,91;533;1740;764118;183;280
MaltDrink2;Subject 7;4;249,10;1824,34;-2,98;14,63;286,16;823,87;557;1535;719357;218;341
MaltDrink4;Subject 7;5;239,24;1446,86;-1,39;4,82;291,57;979,33;544;1848;848151;220;347
Soda1;Subject 7;7;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda10;Subject 7;5;256,62;2210,76;-2,28;9,65;307,98;1216,97;591;2225;1063841;239;284
Soda11;Subject 7;6;245,89;1589,84;-1,69;7,22;317,94;1286,77;566;2357;1080177;248;282
Soda14;Subject 7;5;264,71;2164,17;-1,72;6,28;331,30;1269,07;623;2347;1189440;207;285
Soda15;Subject 7;5;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 7;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 7;8;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 7;5;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda5;Subject 7;6;262,09;1734,04;-2,24;9,62;304,37;1142,70;586;2096;1032486;174;270
Soda8;Subject 7;7;254,14;1555,61;-2,04;8,31;311,46;1284,56;583;2362;1120219;290;317
Soda9;Subject 7;5;240,42;1553,26;-1,56;5,16;306,19;1287,82;563;2367;1074834;256;299
SportsDrink1;Subject 7;3;307,63;1402,47;-3,15;18,62;373,24;1227,80;671;2317;1373654;251;430
SportsDrink2;Subject 7;4;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
SportsDrink3;Subject 7;6;289,75;2173,28;-2,32;9,69;343,43;1262,68;650;2394;1328227;242;349
Tea2;Subject 7;2;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea3;Subject 7;4;320,86;1872,37;-3,54;19,78;363,93;1129,61;683;2141;1313243;208;407
Tea4;Subject 7;3;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Tea5;Subject 7;4;319,72;1383,95;-3,47;19,85;359,53;1115,57;696;2098;1267066;239;427
Tea6;Subject 7;3;300,33;2266,18;-3,35;18,12;346,88;1292,68;660;2385;1345867;234;348
Water2;Subject 7;5;296,96;4766,20;-0,94;2,46;365,53;1520,50;704;2681;1481021;285;338
Water3;Subject 7;4;289,78;1658,92;-3,13;14,46;337,44;1313,68;625;2419;1321444;260;298
Water4;Subject 7;6;302,28;3056,86;-2,59;11,07;372,29;1357,26;681;2528;1457687;273;338
Water7;Subject 7;4;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
Water8;Subject 7;6;299,95;1716,89;-2,97;12,09;329,74;1337,44;642;2489;1386491;211;303
FruitJuices1;Subject 8;5;272,45;2618,38;-1,30;4,85;329,50;1385,30;636;2498;1298532;213;311
FruitJuices3;Subject 8;5;250,74;1668,35;-1,85;6,14;301,61;954,09;571;1761;830990;211;314
FruitJuices5;Subject 8;4;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
FruitJuices6;Subject 8;5;283,96;2296,42;-2,22;7,38;332,97;1323,28;639;2422;1294794;220;306
FruitJuices8;Subject 8;6;249,84;692,04;-3,43;27,21;291,57;958,17;561;1834;882709;236;415
MaltDrink4;Subject 8;7;239,24;1446,86;-1,39;4,82;291,57;979,33;544;1848;848151;220;347
Soda1;Subject 8;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda13;Subject 8;5;291,21;2264,48;-2,25;8,26;348,42;1343,55;658;2501;1380145;219;294
Soda15;Subject 8;7;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 8;6;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 8;8;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 8;6;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda4;Subject 8;5;259,32;1195,57;-2,11;8,38;315,57;1158,30;575;2145;1046874;200;283
Soda6;Subject 8;5;271,11;1861,69;-2,68;12,52;325,46;1192,10;607;2218;1132965;218;317
SportsDrink2;Subject 8;4;316,40;2129,79;-2,15;7,39;347,80;1273,26;694;2347;1383016;243;368
Tea4;Subject 8;4;299,35;1512,31;-2,58;11,65;344,11;1053,45;651;1979;1126239;201;421
Tea5;Subject 8;3;319,72;1383,95;-3,47;19,85;359,53;1115,57;696;2098;1267066;239;427
Water1;Subject 8;5;290,98;1386,87;-1,79;8,37;341,89;1407,74;648;2672;1475127;276;339
Water3;Subject 8;3;289,78;1658,92;-3,13;14,46;337,44;1313,68;625;2419;1321444;260;298
Water5;Subject 8;5;298,84;2127,93;-2,49;9,29;359,07;1286,20;643;2345;1305425;270;305
Water6;Subject 8;4;305,06;2462,56;-2,87;11,68;356,50;1014,56;668;1858;1056114;236;341
Water7;Subject 8;6;308,12;1989,42;-2,94;13,01;359,28;1315,67;689;2484;1494715;210;339
FruitJuices1;Subject 9;5;272,45;2618,38;-1,30;4,85;329,50;1385,30;636;2498;1298532;213;311
FruitJuices2;Subject 9;7;291,10;2368,70;-1,55;5,56;329,68;1329,46;657;2449;1338166;241;340
FruitJuices4;Subject 9;6;298,96;2574,44;-2,30;7,92;359,07;1308,53;668;2396;1343547;264;296
FruitJuices5;Subject 9;5;268,39;2066,83;-1,17;4,91;321,72;1103,76;617;2008;1000176;240;352
FruitJuices6;Subject 9;5;283,96;2296,42;-2,22;7,38;332,97;1323,28;639;2422;1294794;220;306
FruitJuices7;Subject 9;5;271,49;2702,22;-1,97;5,96;326,93;1289,32;628;2372;1219022;214;290
MaltDrink3;Subject 9;4;266,02;1979,31;-2,06;8,12;312,69;1174,26;599;2178;1099503;210;294
Soda1;Subject 9;5;243,81;1745,87;-1,37;5,02;297,86;1313,11;556;2397;1088295;225;312
Soda10;Subject 9;5;256,62;2210,76;-2,28;9,65;307,98;1216,97;591;2225;1063841;239;284
Soda11;Subject 9;7;245,89;1589,84;-1,69;7,22;317,94;1286,77;566;2357;1080177;248;282
Soda13;Subject 9;7;291,21;2264,48;-2,25;8,26;348,42;1343,55;658;2501;1380145;219;294
Soda15;Subject 9;6;248,34;1822,38;-1,37;4,91;301,22;1334,99;569;2451;1144976;200;322
Soda16;Subject 9;5;261,94;2538,13;-0,90;4,39;348,72;1281,85;623;2406;1195128;282;342
Soda2;Subject 9;6;295,45;3891,86;-1,56;4,77;358,37;1350,53;678;2428;1328241;239;275
Soda3;Subject 9;6;229,64;2047,57;-1,31;4,03;283,04;986,64;534;1787;770452;221;282
Soda8;Subject 9;6;254,14;1555,61;-2,04;8,31;311,46;1284,56;583;2362;1120219;290;317
Tea1;Subject 9;5;300,06;1748,17;-2,66;10,57;337,96;1134,12;654;2146;1226717;190;375
Tea2;Subject 9;3;300,11;1824,71;-1,98;6,47;328,90;1216,32;658;2268;1295848;199;369
Tea5;Subject 9;1;319,72;1383,95;-3,47;19,85;359,53;1115,57;696;2098;1267066;239;427
Tea7;Subject 9;2;312,52;1306,84;-3,84;24,84;355,35;1131,76;684;2134;1264023;241;423
Water1;Subject 9;6;290,98;1386,87;-1,79;8,37;341,89;1407,74;648;2672;1475127;276;339
Water3;Subject 9;5;289,78;1658,92;-3,13;14,46;337,44;1313,68;625;2419;1321444;260;298
Water5;Subject 9;6;298,84;2127,93;-2,49;9,29;359,07;1286,20;643;2345;1305425;270;305
