Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,94.220001,94.220001,94.220001,94.220001,94.211266,0
2023-01-04,94.029999,94.029999,94.029999,94.029999,94.021286,0
2023-01-05,95.389999,95.389999,95.389999,95.389999,95.381157,0
2023-01-06,95.779999,95.779999,95.779999,95.779999,95.771118,0
2023-01-09,95.839996,95.839996,95.839996,95.839996,95.831116,0
2023-01-10,96.169998,96.169998,96.169998,96.169998,96.161087,0
2023-01-11,97.580002,97.580002,97.580002,97.580002,97.570961,0
2023-01-12,98.389999,98.389999,98.389999,98.389999,98.380882,0
2023-01-13,98.690002,98.690002,98.690002,98.690002,98.680855,0
2023-01-16,98.669998,98.669998,98.669998,98.669998,98.660851,0
2023-01-17,98.529999,98.529999,98.529999,98.529999,98.520866,0
2023-01-18,97.720001,97.720001,97.720001,97.720001,97.710945,0
2023-01-19,96.589996,96.589996,96.589996,96.589996,96.581047,0
2023-01-20,96.190002,96.190002,96.190002,96.190002,96.181084,0
2023-01-23,97.550003,97.550003,97.550003,97.550003,97.540962,0
2023-01-24,99.379997,99.379997,99.379997,99.379997,99.370789,0
2023-01-25,98.959999,98.959999,98.959999,98.959999,98.950829,0
2023-01-26,99.000000,99.000000,99.000000,99.000000,98.990822,0
2023-01-27,99.449997,99.449997,99.449997,99.449997,99.440781,0
2023-01-30,98.889999,98.889999,98.889999,98.889999,98.880836,0
2023-01-31,98.680000,98.680000,98.680000,98.680000,98.670853,0
2023-02-01,100.800003,100.800003,100.800003,100.800003,100.790657,0
2023-02-02,102.099998,102.099998,102.099998,102.099998,102.090538,0
2023-02-03,103.500000,103.500000,103.500000,103.500000,103.490410,0
2023-02-06,103.300003,103.300003,103.300003,103.300003,103.290428,0
2023-02-07,103.599998,103.599998,103.599998,103.599998,103.590393,0
2023-02-08,103.199997,103.199997,103.199997,103.199997,103.190430,0
2023-02-09,102.199997,102.199997,102.199997,102.199997,102.190521,0
2023-02-10,100.599998,100.599998,100.599998,100.599998,100.590675,0
2023-02-13,101.400002,101.400002,101.400002,101.400002,101.390602,0
2023-02-14,101.300003,101.300003,101.300003,101.300003,101.290611,0
2023-02-15,102.300003,102.300003,102.300003,102.300003,102.290520,0
2023-02-16,103.099998,103.099998,103.099998,103.099998,103.090439,0
2023-02-17,102.300003,102.300003,102.300003,102.300003,102.290520,0
2023-02-20,102.699997,102.699997,102.699997,102.699997,102.690475,0
2023-02-21,101.300003,101.300003,101.300003,101.300003,101.290611,0
2023-02-22,99.690002,99.690002,99.690002,99.690002,99.680763,0
2023-02-23,100.400002,100.400002,100.400002,100.400002,100.390694,0
2023-02-24,100.300003,100.300003,100.300003,100.300003,100.290710,0
2023-02-27,100.400002,100.400002,100.400002,100.400002,100.390694,0
